ID,1000
MPHE-09G--,,,PHYSICAL AND HEALTH EDUCATION 9 Girls,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSP--09---,,,SPANISH 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XC---09--L,,,CONCERT CHOIR 9 Linear,,,,,N,,,N,,,,,,,0.0000
XLEAD09---,,,LEADERSHIP 9 LD,,,,,N,,,Y,,,,,,,0.0000
ID,1008
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADD-09---,,,ADST - Drafting 9,,,,,N,,,Y,,,,,,,0.0000
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09---,,,MATHEMATICS 9,,,,,N,,,N,,,,,,,0.0000
MPHE-09B--,,,PHYSICAL AND HEALTH EDUCATION 9 Boys,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSP--09---,,,SPANISH 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XLDCB09M--,,,TECH ED 9: MECHANICS LD,,,,,N,,,N,,,,,,,0.0000
ID,1009
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MATPH12---,,,ANATOMY AND PHYSIOLOGY 12,,,,,N,,,N,,,,,,,4.0000
MBIT-11,,,INTRODUCTORY ITALIAN 11,,,,,N,,,Y,,,,,,,4.0000
MCALC12---,,,CALCULUS 12,,,,,N,,,Y,,,,,,,4.0000
MCH--12---,,,CHEMISTRY 12,,,,,N,,,N,,,,,,,4.0000
MENFP12---,,,ENGLISH FIRST PEOPLES 12,,,,,N,,,N,,,,,,,4.0000
MENT-12---,,,ENTREPRENEURSHIP 12,,,,,N,,,N,,,,,,,4.0000
MEVSC11---,,,ENVIRONMENTAL SCIENCE 11,,,,,N,,,N,,,,,,,4.0000
MEVSC12C--,,,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,,,,,N,,,N,,,,,,,4.0000
MPGEO12---,,,PHYSICAL GEOGRAPHY 12,,,,,N,,,N,,,,,,,4.0000
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4.0000
ID,1010
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MATPH12---,,,ANATOMY AND PHYSIOLOGY 12,,,,,N,,,N,,,,,,,4.0000
MCH--11---,,,CHEMISTRY 11,,,,,N,,,Y,,,,,,,4.0000
MCLE-10--L,,,CAREER LIFE EDUCATION 10 Linear,,,,,N,,,N,,,,,,,4.0000
MGRPR11--L,,,GRAPHIC PRODUCTION 11 LINEAR,,,,,N,,,N,,,,,,,4.0000
MIMCB11--L,,,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,,,,,N,,,N,,,,,,,4.0000
MIMJB11--L,,,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,,,,,N,,,N,,,,,,,4.0000
MINST12C--,,,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,,,,,N,,,N,,,,,,,4.0000
MLTST11C--,,,LITERARY STUDIES 11 Challenge,,,,,N,,,N,,,,,,,4.0000
MMACS12---,,,COMPUTER SCIENCE 12,,,,,N,,,N,,,,,,,4.0000
MMUOR11S-L,,,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,,,,,N,,,N,,,,,,,4.0000
MPH--11---,,,PHYSICS 11,,,,,N,,,N,,,,,,,4.0000
MPREC11H--,,,PRE-CALCULUS 11 HONOURS,,,,,N,,,N,,,,,,,4.0000
MSTAT12---,,,STATISTICS 12,,,,,N,,,Y,,,,,,,4.0000
YED--1EX-L,,,PEER TUTORING 11 LINEAR,,,,,N,,,N,,,,,,,4.0000
ID,1011
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADFS09---,,,ADST - Food Studies 9,,,,,N,,,N,,,,,,,0.0000
MAE--09---,,,ARTS EDUCATION 9,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09---,,,MATHEMATICS 9,,,,,N,,,N,,,,,,,0.0000
MPHE-09---,,,PHYSICAL AND HEALTH EDUCATION 9,,,,,N,,,N,,,,,,,0.0000
MSC--09---,,,SCIENCE 9,,,,,N,,,N,,,,,,,0.0000
MSS--09---,,,SOCIAL STUDIES 9,,,,,N,,,N,,,,,,,0.0000
XBA--09G--,,,CONCERT BAND 9 - Guitar,,,,,N,,,N,,,,,,,0.0000
ID,1012
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MDCF-10---,,,DANCE FOUNDATIONS 10,,,,,N,,,N,,,,,,,4.0000
MEFWR10---,,,EFP WRITING 10,,,,,N,,,N,,,,,,,2.0000
MFMP-10---,,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,,,,,N,,,N,,,,,,,4.0000
MFOOD10---,,,ADST ?  FOOD STUDIES 10,,,,,N,,,N,,,,,,,4.0000
