Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
MGRPR12--L,,GRAPHIC PRODUCTION 12 LINEAR,Applied Skills,,N,,1,1,50,2.00,,50,,1,,,,Y
MIDS-0A---,,INDEPENDENT DIRECTED STUDIES 10A,Personal Development,,N,,0,1,29,0.00,,0,,6,,,,Y
MIDS-0B---,,INDEPENDENT DIRECTED STUDIES 10B,Personal Development,,N,,2,1,29,2.00,,50,,5,,,,Y
MIDS-0C---,,INDEPENDENT DIRECTED STUDIES 10C,Personal Development,,N,,1,1,20,2.00,,20,,1,,,,Y
MIDS-1A---,,INDEPENDENT DIRECTED STUDIES 11A,Personal Development,,N,,0,1,0,0.00,,50,,5,,,,Y
MIDS-1B---,,INDEPENDENT DIRECTED STUDIES 11B,Personal Development,,N,,2,1,100,2.00,,0,,5,,,,Y
MIDS-2A---,,INDEPENDENT DIRECTED STUDIES 12A,Personal Development,,N,,2,1,0,2.00,,0,,3,,,,Y
MIDS-2B---,,INDEPENDENT DIRECTED STUDIES 12B,Personal Development,,N,,0,1,0,0.00,,0,,1,,,,Y
MIMCB11--L,,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,Band,,N,,1,1,100,1.00,,10,,1,,,,Y
MIMCB12--L,,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,Band,,N,,1,1,100,1.00,,10,,1,,,,Y
MIMG-11---,,INSTRUMENTAL MUSIC 11: GUITAR,Music,,N,,2,1,29,2.00,,50,,2,,,,Y
MIMG-12---,,INSTRUMENTAL MUSIC 12: GUITAR,Music,,N,,2,1,29,2.00,,50,,2,,,,Y
MIMJB11--L,,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,Band,,N,,1,1,100,2.00,,50,,1,,,,Y
MIMJB12--L,,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,Band,,N,,1,1,100,2.00,,50,,1,,,,Y
MINST12---,,CONTEMPORARY INDIGENOUS STUDIES 12,Social Studies,,N,,2,1,24,2.00,,20,,1,,,,Y
MINST12C--,,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,Social Studies,,N,,2,1,24,2.00,,20,,2,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 7,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MIT--11---,,ITALIAN 11,Languages,,N,,2,1,29,2.00,,15,,1,,,,Y
MJA--09--,,JAPANESE 9,Languages,,N,,0,0,0,0.00,,0,,0,,,,Y
MLFSC11---,,LIFE SCIENCES 11,Science,,N,,2,1,23,2.00,,35,,5,,,,Y
MLST-12---,,LAW STUDIES 12,Social Studies,,N,,2,1,24,2.00,,20,,7,,,,Y
MLTST10---,,LITERARY STUDIES 10,English,,N,,2,1,24,1.00,,50,,8,,,,Y
MLTST10--L,,LITERARY STUDIES 10 Linear,English,,N,,1,1,24,2.00,,20,,2,,,,Y
MLTST10C--,,LITERARY STUDIES 10 Challenge,English,,N,,2,1,24,2.00,,20,,2,,,,Y
MLTST11---,,LITERARY STUDIES 11,English,,N,,2,1,24,2.00,,15,,1,,,,Y
MLTST11C--,,LITERARY STUDIES 11 Challenge,English,,N,,2,1,24,2.00,,20,,2,,,,Y
MLTST12---,,LITERARY STUDIES 12,English,,N,,2,1,24,2.00,,10,,1,,,,Y
MMA--09---,,MATHEMATICS 9,Mathematics,,N,,2,1,29,2.00,,20,,4,,,,Y
MMA--09C--,,MATHEMATICS 9 CHALLENGE,Mathematics,,N,,2,1,29,2.00,,20,,2,,,,Y
MMA--09H--,,MATHEMATICS 9 HONOURS,Mathematics,,N,,2,1,29,2.00,,20,,1,,,,Y
MMACS11---,,COMPUTER SCIENCE 11,Mathematics,,N,,2,1,24,2.00,,50,,5,,,,Y
MMACS12---,,COMPUTER SCIENCE 12,Mathematics,,N,,2,1,24,2.00,,50,,5,,,,Y
MMAN-10---,,MANDARIN CHINESE 10,Languages,,N,,2,1,29,2.00,,15,,1,,,,Y
MMAN-11---,,MANDARIN CHINESE 11,Languages,,N,,2,1,29,2.00,,50,,2,,,,Y
MMAP-11---,,MARKETING AND PROMOTION 11,Applied Skills,,N,,2,1,29,2.00,,50,,1,,,,Y
MMEDD10---,,ADST ? MEDIA DESIGN 10,Information Tech,,N,,2,1,24,2.00,,50,,2,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 8,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MMEDD11---,,MEDIA DESIGN 11,Information Tech,,N,,2,1,24,2.00,,50,,2,,,,Y
MMEDD12---,,MEDIA DESIGN 12,Information Tech,,N,,2,1,24,2.00,,50,,2,,,,Y
MMUCB10--L,,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,Music,,N,,1,1,100,1.00,,10,,1,,,,Y
MMUCC10--L,,CHORAL MUSIC: CONCERT CHOIR 10 Linear,Music,,N,,1,1,50,2.00,,50,,1,,,,Y
MMUGT10---,,INSTRUMENTAL MUSIC: GUITAR 10,Music,,N,,2,1,29,2.00,,50,,2,,,,Y
MMUJB10--L,,INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,Music,,N,,1,1,100,2.00,,50,,1,,,,Y
MMUOR10S-L,,INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,Music,,N,,1,1,100,2.00,,50,,1,,,,Y
MMUOR11S-L,,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,Music,,N,,1,1,100,2.00,,50,,1,,,,Y
MMUOR12S-L,,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,Music,,N,,1,1,100,2.00,,50,,1,,,,Y
MNMD-10---,,NEW MEDIA 10,English,,N,,2,1,24,1.00,,50,,3,,,,Y
MNMD-11---,,NEW MEDIA 11,English,,N,,2,1,24,2.00,,20,,2,,,,Y
MODED11---,,OUTDOOR EDUCATION 11,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MODED12---,,OUTDOOR EDUCATION 12,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MPGEO12---,,PHYSICAL GEOGRAPHY 12,Social Studies,,N,,2,1,24,2.00,,10,,1,,,,Y
MPH--11---,,PHYSICS 11,Science,,N,,2,1,23,2.00,,20,,6,,,,Y
MPH--12---,,PHYSICS 12,Science,,N,,2,1,23,2.00,,35,,5,,,,Y
MPHE-09---,,PHYSICAL AND HEALTH EDUCATION 9,Physical Education,,N,,2,1,29,2.00,,35,,3,,,,Y
MPHE-09--L,,PHYSICAL AND HEALTH EDUCATION 9 Linear,Physical Education,,N,,1,1,32,2.00,,40,,1,,,,Y
MPHE-09B--,,PHYSICAL AND HEALTH EDUCATION 9 Boys,Physical Education,,N,,2,1,29,2.00,,35,,5,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 9,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MPHE-09B-L,,PHYSICAL AND HEALTH EDUCATION 9 Boys Linear,Physical Education,,N,,1,1,29,1.00,,35,,1,,,,Y
MPHE-09G--,,PHYSICAL AND HEALTH EDUCATION 9 Girls,Physical Education,,N,,2,1,29,2.00,,35,,4,,,,Y
