Semester 1,,,,Semester 2
"COMPUTER PROGRAMMING 11, WEB DEVELOPMENT 12, ","ELL Academic Literacy 11, ","MATHEMATICS 9 CHALLENGE, ","SKILLS EXPLORATION 12A, ","ITALIAN 11, ","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, ","SPANISH 9, SPANISH 10, ","LEARNING STRATEGIES 12, ",
"ADST ? COMPUTER STUDIES 10, COMPUTER STUDIES 11, 3D ANIMATION 12, ","CAREER LIFE CONNECTIONS, ","GERMAN 12, ","COMPARATIVE CULTURES 12, ","MATHEMATICS 9, ","SOCIAL STUDIES 9, ","SOCIAL STUDIES 9 CHALLENGE, ","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, ",
"INTRODUCTORY ITALIAN 11, ","FOOD STUDIES 11, FOOD STUDIES 12, ","LEARNING STRATEGIES 12, ","SCIENCE 9: CHALLENGE, ","WORKPLACE MATHEMATICS 10, ","PHYSICAL AND HEALTH EDUCATION 9, PHYSICAL AND HEALTH EDUCATION 10, ","KOREAN 12, ","SOCIAL STUDIES 9 CHALLENGE, ",
"NUMERACY 9, ","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, ","ENGLISH FIRST PEOPLES 12 Year, ","PRE-CALCULUS 11, ","COMPOSITION 11, ","CHEMISTRY 12, ","ADST - Woodwork 9, ADST ?  WOODWORK 10, WOODWORK 11, WOODWORK 12, ","PSYCHOLOGY 11, ",
"MATHEMATICS 9, ","LAW STUDIES 12, ","ITALIAN 12, ","LAW STUDIES 12, ","PRE-CALCULUS 11, ","ADST ? ENTREPRENEURSHIP AND MARKETING 10, ","FRENCH 12, ","SCIENCE 10, ",
"COMPOSITION 10, ","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, ","ART STUDIO 11, ART STUDIO 12, ","SCIENCE 10: CHALLENGE, ","EFP WRITING 10, ","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, ","PSYCHOLOGY 11, ","AP PHYSICS C (MECHANICS) 12 external credential, ",
"ADST-Information and Communications Technologies 9, Information and Communications Technologies 10, ","FRENCH 12, ","ENVIRONMENTAL SCIENCE 11, ","ADST-Information and Communications Technologies 9, Information and Communications Technologies 10, ","SOCIAL STUDIES 10, ","LIFE SCIENCES 11, ","ENGLISH LANGUAGE ARTS 9 CHALLENGE, ","PHYSICS 11, ",
"FOUNDATIONS OF MATH AND PRE-CALCULUS 10, ","LEARNING STRATEGIES 11, ","CRIMINOLOGY 12, ","LITERARY STUDIES 11 Challenge, ","ADST ? ENTREPRENEURSHIP AND MARKETING 10, ","COMPOSITION 11, ","20th CENTURY WORLD HISTORY 12, ","PRE-CALCULUS 11, ",
"COMPOSITION 11, ","INCLUSIVE INTRODUCTION TO TRADE SKILLS 12, ","ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE, ","ARTS EDUCATION 9, VISUAL ARTS: ART STUDIO 10, ","DANCE 9 HIP HOP, DANCE CONDITIONING 11, DANCE CONDITIONING 12, INDEPENDENT DIRECTED STUDIES 10B, ","ENGLISH LANGUAGE ARTS 9, ","CRIMINOLOGY 12, ","ADST - Electronics and Robotics, ADST ?  ELECTRONICS AND ROBOTICS 10, ROBOTICS 11, ROBOTICS 12, ",
"ACTIVE LIVING 11 Girls, ACTIVE LIVING 12 Girls, ","EXPLORATIONS IN SOCIAL STUDIES 11, ","COMPUTER PROGRAMMING 11, WEB DEVELOPMENT 12, ","ACTIVE LIVING 11, ACTIVE LIVING 12, ","PHYSICS 11, ","INCLUSIVE INTRODUCTION TO TRADE SKILLS 9, ","PRE-CALCULUS 11, ","ART STUDIO 11, ART STUDIO 12, ",
"AP ENGLISH LITERATURE & COMPOSITION 12, ","PRE-CALCULUS 12, ","20th CENTURY WORLD HISTORY 12, ","MATHEMATICS 9, ","SCIENCE 9: CHALLENGE, ","SCIENCE 9, ","SOCIAL STUDIES 10, ","ADST - Woodwork 9, ADST ?  WOODWORK 10, WOODWORK 11, WOODWORK 12, ",
"DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, ","ARTS EDUCATION 9, VISUAL ARTS: ART STUDIO 10, ","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, ","LEARNING STRATEGIES 12, ","SOCIAL STUDIES 9, ","EFP WRITING 10, ","WORKPLACE MATHEMATICS 11, ","LEADERSHIP 9 LD, ",
"LEARNING STRATEGIES 10, ","FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS, ","FOUNDATIONS OF MATHEMATICS 11, ","INCLUSIVE INTRODUCTION TO TRADE SKILLS 10, ","KOREAN 10, ","ADST-Information and Communications Technologies 9, Information and Communications Technologies 10, ","PHYSICAL AND HEALTH EDUCATION 9, PHYSICAL AND HEALTH EDUCATION 10, ","ACCOUNTING 11, ACCOUNTING 12, ",
"ADST - Electronics and Robotics, ADST ?  ELECTRONICS AND ROBOTICS 10, ROBOTICS 11, ROBOTICS 12, ","PHYSICS 11, ","DRAMA 9, DRAMA 10, ","FOOD STUDIES 11, FOOD STUDIES 12, ","COMPOSITION 10, ","ANATOMY AND PHYSIOLOGY 12, ","SPOKEN LANGUAGE 11, ","ANATOMY AND PHYSIOLOGY 12, ",
"FRENCH 9, ","LEARNING STRATEGIES 10, ","WORKPLACE MATHEMATICS 11, ","SOCIAL STUDIES 10, ","ADST ? MEDIA DESIGN 10, MEDIA DESIGN 11, MEDIA DESIGN 12, ","CHEMISTRY 11, ","ENGLISH LANGUAGE ARTS 9, ","COMPARATIVE CULTURES 12, ",
"CONCERT BAND 9 - Guitar, ","SOCIAL STUDIES 10, ","CAREER LIFE EDUCATION 10, ","SCIENCE 10, ","ADST - Electronics and Robotics, ADST ?  ELECTRONICS AND ROBOTICS 10, ROBOTICS 11, ROBOTICS 12, ","ACTIVE LIVING 11, ACTIVE LIVING 12, ","ARTS EDUCATION 9, VISUAL ARTS: ART STUDIO 10, ","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, ",
"ENGLISH STUDIES 12 CHALLENGE, ","CREATIVE WRITING 11, ","SOCIAL STUDIES 9, ","LITERARY STUDIES 10, ","SOCIAL STUDIES 10 CHALLENGE, ",,"INSTRUMENTAL MUSIC 11: GUITAR, INSTRUMENTAL MUSIC 12: GUITAR, INSTRUMENTAL MUSIC: GUITAR 10, ","PHYSICS 12, ",
"ENTREPRENEURSHIP 12, ","PHYSICS 12, ","ENGLISH LANGUAGE ARTS 9, ","CHEMISTRY 12, ","WORKPLACE MATHEMATICS 11, ",,"LAW STUDIES 12, ","ELL Academic Literacy 11, ",
"COMPOSITION 10 Challenge, ","CAREER LIFE EDUCATION 10, ","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, ","JAPANESE 11, ","SKILLS EXPLORATION 12A, ",,"PHYSICAL AND HEALTH EDUCATION 9 Boys, PHYSICAL AND HEALTH EDUCATION 10 Boys, ","COMPOSITION 11, ",
"PSYCHOLOGY 11, ","ANATOMY AND PHYSIOLOGY 12, ","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, ","CHEMISTRY 11, ","SCIENCE 9, ",,"SCIENCE 10, ","CONCERT BAND 9 - Guitar, ",
"CAREER LIFE EDUCATION 10, ","SCIENCE 10, ","LEARNING STRATEGIES 10, ","LEARNING STRATEGIES 11, ","FOOD STUDIES 11, FOOD STUDIES 12, ",,"PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, ","SKILLS EXPLORATION 11A, ",
"CHEMISTRY 12, ","SKILLS EXPLORATION 10A, ","ENGLISH LANGUAGE ARTS 9, ","LAW STUDIES 12, ","CAREER LIFE EDUCATION 10, ",,"FOUNDATIONS OF MATH AND PRE-CALCULUS 10, ","FRENCH 11, ",
"SOCIAL STUDIES 10, ","LAW STUDIES 12, ","LEARNING STRATEGIES 11, ",,"FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE, ",,"INCLUSIVE INTRODUCTION TO TRADE SKILLS 11, ","LEARNING STRATEGIES 9 LD, ",
"JAPANESE 10, ",,,,"JAPANESE 12, ",,"CHEMISTRY 11, ","CAREER LIFE EDUCATION 10, ",
"SCIENCE 10, ",,,,"LAW STUDIES 12, ",,"COMPOSITION 11, ","CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE, ",
"CALCULUS 12, ",,,,"LIFE SCIENCES 11, ",,"EXPLORATIONS IN SOCIAL STUDIES 11, ","ANATOMY AND PHYSIOLOGY 12, ",
,,,,,,"SCIENCE 10, ","GERMAN 11, ",
,,,,,,"CAREER LIFE CONNECTIONS, ","BEGINNERS ELL 10, ",
,,,,,,,"CHEMISTRY 11, ",
