1435
"Semester: 1, Block: B","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, , "
"Semester: 1, Block: C","CHEMISTRY 11, , "
"Semester: 1, Block: D","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, , "
"Semester: 2, Block: A","CAREER LIFE EDUCATION 10 Linear, , "
"Semester: 2, Block: B","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, , "
"Semester: 2, Block: C","CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE, , "
"Semester: 2, Block: D","LITERARY STUDIES 11 Challenge, , "
Outside,"[GEOMETRY 12,][GRAPHIC PRODUCTION 11 LINEAR,]"

1414
"Semester: 1, Block: A","COMPOSITION 10, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Boys, PHYSICAL AND HEALTH EDUCATION 10 Boys, , "
"Semester: 1, Block: D","ADST - Drafting 9, ADST ?  DRAFTING 10, , "
"Semester: 2, Block: A","ADST ? ENTREPRENEURSHIP AND MARKETING 10, , "
"Semester: 2, Block: B","SCIENCE 10, , "
"Semester: 2, Block: C","ADST - Woodwork 9, ADST ?  WOODWORK 10, WOODWORK 11, WOODWORK 12, , "
"Semester: 2, Block: D","SOCIAL STUDIES 10, , "
Outside,

1466
"Semester: 1, Block: A","AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, , "
"Semester: 1, Block: B","ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE, , "
"Semester: 1, Block: C","LEARNING STRATEGIES 12, , "
"Semester: 1, Block: D",
"Semester: 2, Block: A","AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, , "
"Semester: 2, Block: B","FOOD STUDIES 11, FOOD STUDIES 12, , "
"Semester: 2, Block: C","ENGLISH FIRST PEOPLES 12, , "
"Semester: 2, Block: D","LEARNING STRATEGIES 12, , "
Outside,"[COMMUNITY LEADERSHIP 10 Linear,COMMUNITY LEADERSHIP 11 Linear,COMMUNITY LEADERSHIP 12 Linear,]"

1671
"Semester: 1, Block: A","AP ENGLISH LITERATURE & COMPOSITION 12, , "
"Semester: 1, Block: B","LITERARY STUDIES 12, , "
"Semester: 1, Block: C","PRE-CALCULUS 12 HONOURS, , "
"Semester: 1, Block: D","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, , "
"Semester: 2, Block: A","CALCULUS 12, , "
"Semester: 2, Block: B","PHYSICS 12, , "
"Semester: 2, Block: C","CHEMISTRY 12, , "
"Semester: 2, Block: D","LAW STUDIES 12, , "
Outside,

1307
"Semester: 1, Block: A",
"Semester: 1, Block: B","ART STUDIO 11, ART STUDIO 12, , "
"Semester: 1, Block: C","GERMAN 12, , "
"Semester: 1, Block: D",
"Semester: 2, Block: A","ENTREPRENEURSHIP 12, , "
"Semester: 2, Block: B","FOOD STUDIES 11, FOOD STUDIES 12, , "
"Semester: 2, Block: C","FRENCH 12, , "
"Semester: 2, Block: D",
Outside,

1611
"Semester: 1, Block: A","COMPOSITION 11, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATHEMATICS 11, , "
"Semester: 1, Block: C","GERMAN 12, , "
"Semester: 1, Block: D","EXPLORATIONS IN SOCIAL STUDIES 11, , "
"Semester: 2, Block: A","KOREAN 10, , "
"Semester: 2, Block: B","KOREAN 11, , "
"Semester: 2, Block: C","KOREAN 12, , "
"Semester: 2, Block: D","LIFE SCIENCES 11, , "
Outside,

1277
"Semester: 1, Block: A","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: B","PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns, YOGA FOR MINDFULNESS 10, YOGA FOR MINDFULNESS 11, YOGA FOR MINDFULNESS 12, , "
"Semester: 1, Block: C","SCIENCE 10, , "
